Price,Use,Transmission,Body,Fuel,Year,Mileage (km),Drivetrain,Horse Power,Engine Size (l),Make,Model,Source,Horsepower
190000.0,Foreign Used,Automatic,Sedan,Petrol,2019,54602.0,Front-Wheel Drive,192.0,1.5,Honda,Accord,Tonaton,192.0
170000.0,Foreign Used,Automatic,,Petrol,2013,,,,2.4,Hyundai,Tucson,Tonaton,176.0
280000.0,Foreign Used,Automatic,SUV,Petrol,2016,19000.0,All-Wheel Drive,340.0,3.0,Land Rover,Range Rover Sport,Tonaton,340.0
640000.0,Foreign Used,Automatic,,Petrol,2021,10000.0,,,,Infiniti,QX80,Tonaton,
355000.0,Foreign Used,Automatic,SUV,Petrol,2016,40120.0,All-Wheel Drive,510.0,5.0,Land Rover,Range Rover Sport,Tonaton,510.0
180000.0,Foreign Used,Automatic,Sedan,Petrol,2017,,Front-Wheel Drive,174.0,1.5,Honda,Civic,Tonaton,174.0
260000.0,Foreign Used,Automatic,,Petrol,2019,,,,,Infiniti,QX50,Tonaton,
378000.0,Foreign Used,Automatic,,Petrol,2019,,,,2.0,Acura,RDX,Tonaton,272.0
370000.0,Foreign Used,Automatic,,Petrol,2018,,,,,Lexus,RX 350,Tonaton,
485000.0,Foreign Used,Automatic,,Petrol,2017,19000.0,,,,Land Rover,Range Rover Vogue,Tonaton,
165000.0,Foreign Used,Automatic,SUV,Petrol,2015,,Front-Wheel Drive,178.0,1.6,Ford,Escape,Tonaton,178.0
920000.0,Foreign Used,Automatic,SUV,Petrol,2017,,All-Wheel Drive,520.0,4.8,Porsche,Cayenne,Tonaton,520.0
550000.0,Foreign Used,Automatic,,Petrol,2020,23500.0,,,4.0,Toyota,4-Runner,Tonaton,270.0
445000.0,Foreign Used,Automatic,Pickup,Petrol,2019,33883.0,Four-Wheel Drive,450.0,3.5,Ford,F-150,Tonaton,450.0
335000.0,Foreign Used,Automatic,,Petrol,2021,,,,1.5,Honda,CR-V,Tonaton,190.0
1200000.0,Foreign Used,Automatic,,Petrol,2021,22000.0,,,,Cadillac,Escalade,Tonaton,
95800.0,Foreign Used,Automatic,Sedan,Petrol,2013,,Front-Wheel Drive,178.0,2.5,Toyota,Camry,Tonaton,178.0
88000.0,Ghanaian Used,Manual,,Petrol,2010,,,,,Tata,Aria,Tonaton,
485000.0,Ghanaian Used,Automatic,SUV,Petrol,2016,,All-Wheel Drive,550.0,5.0,Land Rover,Range Rover Sport,Tonaton,550.0
105000.0,Foreign Used,Automatic,SUV,Petrol,2012,313680.0,Front-Wheel Drive,165.0,2.0,Hyundai,Tucson,Tonaton,165.0
175000.0,Foreign Used,Automatic,,Petrol,2017,88000.0,,,,Ford,Transit,Tonaton,
